Class_name,precision,recall,f1-score,support
Passion Fruit,1.0,1.0,1.0,166.0
Chestnut,0.9793103448275862,0.9281045751633987,0.9530201342281879,153.0
Beetroot,0.9928571428571429,0.9266666666666666,0.9586206896551723,150.0
Orange,1.0,1.0,1.0,160.0
Mango Red,1.0,1.0,1.0,142.0
Mandarine,0.9540229885057471,1.0,0.976470588235294,166.0
Plum 3,1.0,1.0,1.0,304.0
Pepino,0.9880952380952381,1.0,0.9940119760479043,166.0
Pepper Orange,1.0,0.8760683760683761,0.9339407744874715,234.0
Potato White,0.9933774834437086,1.0,0.9966777408637874,150.0
Pomegranate,1.0,1.0,1.0,164.0
Kaki,1.0,1.0,1.0,166.0
Maracuja,0.9631901840490797,0.9457831325301205,0.9544072948328267,166.0
Rambutan,0.9939393939393939,1.0,0.9969604863221885,164.0
Apple Golden 1,0.8833333333333333,0.99375,0.9352941176470588,160.0
Cherry Wax Yellow,1.0,1.0,1.0,164.0
Plum,1.0,1.0,1.0,151.0
Kohlrabi,1.0,1.0,1.0,157.0
Apple Red Yellow 2,1.0,1.0,1.0,219.0
Pepper Yellow,1.0,1.0,1.0,222.0
Grape White,1.0,1.0,1.0,166.0
accuracy,0.9796368124118476,0.9796368124118476,0.9796368124118476,0.9796368124118476
macro avg,0.9800154235734035,0.9790275777279207,0.9781419978368383,22688.0
weighted avg,0.9809492818134264,0.9796368124118476,0.9789861813535452,22688.0
